seller_name,sustainable_material_count,eco_label_count,environmental_keyword_count,product_quality_complaint_count,product_damage_complaint_count,product_safety_complaint_count,customer_service_complaint_count,counterfeit_complaint_count,governance_keyword_count,E_score,S_score,G_score,ESG_reference_score,ESG_level,ESG_rank
Sailwind,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Terramar Sports Inc,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Whitewonders,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
EXCELMART-1,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Duque Market,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
ZENGVEE,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Zanjode-US,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Baohui Fashion Store,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
"33,000ft outdoor",0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Zeeflou,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Youyiyi,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Baby Mioglrie,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
YOUFANNUO,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Funwear,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
MEI tian,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
JUNBAOSS,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Feixun,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
GEEK LIGHTING,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Automet-US,0.27999999999999997,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11199999999999999,0.31451619262832886,1.0,0.778,0.5927912714787446,Moderate,35
BMJL US,0.2222222222222222,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30000000000000004,0.2833384630600001,1.0,0.825,0.5920168603175552,Moderate,36
MAELREG,0.3333333333333333,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.15000000000000002,0.3432956353067862,0.8999999999999999,0.7875,0.5903633395459618,Moderate,37
ACT Apparel,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44999999999999996,0.25335987693660705,1.0,0.8625,0.5888813597194333,Moderate,38
Guardy LLC,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16342411856642794,1.0,1.0,0.5872451999902473,Moderate,39
DHARVI CLOTHING HUB.,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16342411856642794,1.0,1.0,0.5872451999902473,Moderate,39
Greggs Shoreline Deals,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16342411856642794,1.0,1.0,0.5872451999902473,Moderate,39
Hoth Investments,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16342411856642794,1.0,1.0,0.5872451999902473,Moderate,39
SAVKOOV,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16342411856642794,1.0,1.0,0.5872451999902473,Moderate,39
Amnnchyabf,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16342411856642794,1.0,1.0,0.5872451999902473,Moderate,39
JDGifts,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16342411856642794,1.0,1.0,0.5872451999902473,Moderate,39
I-Max Fashions,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16342411856642794,1.0,1.0,0.5872451999902473,Moderate,39
ANRABESS,0.2222222222222222,0.0,1.0,0.8333333333333335,0.9333333333333333,1.0,1.0,1.0,0.43333333333333335,0.2833384630600001,0.9199999999999999,0.8583333333333334,0.586713288351976,Moderate,40
TACVASEN,0.26666666666666666,0.0,1.0,0.9,1.0,1.0,1.0,1.0,0.16000000000000003,0.3073213319587145,0.96,0.79,0.5851391783567742,Moderate,41
Greenfive,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25335987693660705,1.0,0.85,0.5849961886868436,Moderate,42
Seven Chakra Tree,0.3333333333333333,0.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,0.3432956353067862,0.9199999999999999,0.75,0.5826238334613136,Moderate,43
Dokotoo Flagship Shop,0.18386444107233182,0.0,1.0,0.96206373292868,1.0,1.0,1.0,1.0,0.3414264036418816,0.26264004623732357,0.9848254931714719,0.8353566009104704,0.5820523514337963,Moderate,44
SuperiorBrands,0.14285714285714282,0.0,1.0,0.928571428571429,1.0,1.0,1.0,1.0,0.5142857142857142,0.24051191145515288,0.9714285714285715,0.8785714285714286,0.5819432780157792,Moderate,45
Throop Supply,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
24 Caret,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
BrandsDirect,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
Artifacts Avenue,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
VILOCY,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
Tegrity Outlets,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
Trendmalls Industries Pvt Ltd,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
INNERSY STORE,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
adidas_official,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.16342411856642794,1.0,0.975,0.5794748579250677,Moderate,46
MAGCOMSEN,0.25,0.0,1.0,1.0,0.95,1.0,0.8624999999999999,1.0,0.19999999999999996,0.2983277561216966,0.99,0.765625,0.5789998012541386,Moderate,47
ZEAGOO,0.2222222222222222,0.0,1.0,1.0,1.0,0.8333333333333335,1.0,1.0,0.2666666666666667,0.2833384630600001,0.9333333333333333,0.8166666666666667,0.5763733895854243,Moderate,48
TralilbeeUS,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.16342411856642794,1.0,0.9583333333333334,0.5742946298816146,Moderate,49
Lomonshop,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25335987693660705,1.0,0.8125,0.5733406755890742,Moderate,50
G-GRADUAL,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25335987693660705,1.0,0.8125,0.5733406755890742,Moderate,50
DerYa,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.16342411856642794,1.0,0.9545454545454546,0.5731173053262844,Moderate,51
Famous Brands Outlet,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.16342411856642794,1.0,0.95,0.5717045158598881,Moderate,52
Active Supply,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.16342411856642794,1.0,0.95,0.5717045158598881,Moderate,52
Wild West Boot Store,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.16342411856642794,1.0,0.95,0.5717045158598881,Moderate,52
DistributionX,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.16342411856642794,1.0,0.95,0.5717045158598881,Moderate,52
ZITY®,0.18739054290718038,0.0,1.0,0.8248686514886165,0.9824868651488619,1.0,1.0,1.0,0.34150612959719795,0.2645427820929691,0.9264448336252189,0.8353765323992994,0.5715663759721327,Moderate,53
COOFANDY,0.18513388734995384,0.0,1.0,0.9238227146814405,0.9722991689750694,1.0,1.0,1.0,0.23268698060941828,0.2633250579194524,0.9639889196675899,0.8081717451523546,0.5698610930569533,Moderate,54
Real Essentials,0.1990049751243781,0.0,1.0,0.8507462686567165,0.9402985074626866,0.902985074626866,1.0,1.0,0.35820895522388063,0.2708100987099254,0.8895522388059702,0.8395522388059702,0.5687328657235575,Moderate,55
OYOANGLE ONLINE STORE,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7352941176470589,0.16342411856642794,1.0,0.9338235294117647,0.566676647464772,Moderate,56
CRZ YOGA,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7102803738317758,0.16342411856642794,1.0,0.927570093457944,0.5647329940070167,Moderate,57
Shree Ganesh- Fashion,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.16342411856642794,1.0,0.925,0.5639341737947086,Moderate,58
Pgands Design,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.16342411856642794,1.0,0.925,0.5639341737947086,Moderate,58
Soojun limited,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.16342411856642794,1.0,0.925,0.5639341737947086,Moderate,58
BORIFLORS,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.16342411856642794,1.0,0.9166666666666667,0.561344059772982,Moderate,59
Miaozhe,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.3432956353067862,0.7999999999999999,0.75,0.5591277913825857,Moderate,60
CUPSHE,0.33003300330033,0.0,1.0,0.504950495049505,1.0,1.0,1.0,1.0,0.0,0.341514729200446,0.8019801980198019,0.75,0.5586368407682873,Moderate,61
Lion Nardo,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.16342411856642794,1.0,0.9,0.556163831729529,Moderate,62
