seller_name,environmental_keyword_count,sustainable_material_count,eco_label_count,product_quality_complaint_count,product_damage_complaint_count,product_safety_complaint_count,customer_service_complaint_count,counterfeit_complaint_count,governance_keyword_count
Plaid&Plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Playmakers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Price Point Leader,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Pudolla Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Puma Kids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Purefly Brand Store,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
QINSEN,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Qekoma,0.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,1.0
Real Essentials,0.0,0.5970149253731343,0.0,0.029850746268656716,0.029850746268656716,0.019402985074626865,0.0,0.0,0.6417910447761194
RebeyDirect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Reputable Distributors,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Rugged Outfitters,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667
RuzeShoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SACUIMAN FASHION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAVKOOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SECOOD,0.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0
SERNIAL Shoes,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0
SOWTEE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SUNNY PIGGY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SWORNOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sailwind,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Seven Chakra Tree,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0
Shapermint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sheplers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ShoeMall,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.55
Shree Ganesh- Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
SneakerBoyUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Soojun limited,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Soxx Supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Springrain Store,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0
Step & Style Collective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SuperiorBrands,0.0,0.42857142857142855,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.4857142857142857
TACVASEN,0.0,0.8,0.0,0.02,0.0,0.0,0.0,0.0,0.84
TAIYITONG SHOP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TASAMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TBMPOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
THE GYM PEOPLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
TIRANGER C,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Takshvi_USA,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1
Tegrity Outlets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Terramar Sports Inc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
The Best Fast Deals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TheLionGroup,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Throop Supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Timeson,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.05,1.0
Tobias Direct Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TopBrands1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TralilbeeUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Trendmalls Industries Pvt Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
True Classic,0.0,2.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.6363636363636364
UNDERWEAR BASICS,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2
US SHANYI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ultra-Dry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Utopia Deals,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VANGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VILOCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
VIPONES,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VRMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Voadera,0.0,0.009900990099009901,0.0,0.09900990099009901,0.0,0.0,0.0,0.0,0.09900990099009901
VooVeeYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
WQH-US,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0
WUJISMART,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WaltZon,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5
Whitewonders,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Wild West Boot Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Wisdom Gate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45901639344262296
Wiskicks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Woohoo Mart,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0
XIEERDUO,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
XZQTIVE BELT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
YOUFANNUO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
YUCHENGFU,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Youyiyi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Yuanlu Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZACS Direct,0.0,2.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,1.0
ZEAGOO,0.0,0.6666666666666666,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.7333333333333333
ZENGVEE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZESICA,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.0
ZITY®,0.0,0.5621716287215411,0.0,0.03502626970227671,0.008756567425569177,0.0,0.0,0.0,0.658493870402802
Zanjode-US,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Zappos,0.0,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,0.0,0.03289473684210526
Zeeflou,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Zhengdaqian,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
adidas_official,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
blooming jelly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
crazm,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
honeylove 10-15 days Arrivals,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jurunfeng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kinzworth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lionstill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
quanzhouhuioumaoyiyouxiangongsi,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0
rapoo,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0
singolake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sunflower1990,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4
topshoesUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
unknown,0.0,0.16073478760045926,0.0,0.013777267508610792,0.011481056257175661,0.0,0.0,0.011481056257175661,0.41561423650975887
usRaphin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wangwangfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
weiweier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
weiyimy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
